episode,step,episode_reward,epsilon,x_position,y_position
1,1,-0.04999999999999999,0,54,11,597.0
1,2,0.95,0,53,10,587.0
1,3,2.8499999999999996,0,52,11,571.0
1,4,3.0999999999999996,0,51,12,566.0
1,5,4.3999999999999995,0,51,13,554.0
1,6,5.549999999999999,0,50,13,543.0
1,7,5.799999999999999,0,49,12,538.0
1,8,8.299999999999999,0,48,11,518.0
1,9,8.999999999999998,0,47,10,510.0
1,10,11.95,0,46,9,487.0
1,11,12.799999999999999,0,45,8,478.0
1,12,14.1,0,44,7,466.0
1,13,16.3,0,43,6,448.0
1,14,18.05,0,42,5,433.0
1,15,18.75,0,41,4,425.0
1,16,21.25,0,40,3,405.0
1,17,21.8,0,39,2,398.0
1,18,21.6,0,38,1,396.0
1,19,22.900000000000002,0,37,0,384.0
1,20,23.450000000000003,0,36,0,377.0
1,21,23.85,0,35,0,371.0
1,22,24.700000000000003,0,34,0,362.0
1,23,25.85,0,33,0,351.0
1,24,27.900000000000002,0,32,1,334.0
1,25,29.650000000000002,0,31,2,319.0
1,26,30.950000000000003,0,30,2,307.0
1,27,31.35,0,29,3,301.0
1,28,33.7,0,28,3,282.0
1,29,33.95,0,27,2,277.0
1,30,34.5,0,26,2,270.0
1,31,35.8,0,25,3,258.0
1,32,37.699999999999996,0,24,4,242.0
1,33,39.9,0,23,5,224.0
1,34,41.65,0,22,6,209.0
1,35,43.25,0,21,7,195.0
1,36,44.25,0,20,8,185.0
1,37,45.7,0,19,9,172.0
1,38,46.7,0,18,9,162.0
1,39,48.150000000000006,0,17,9,149.0
1,40,49.300000000000004,0,16,10,138.0
1,41,51.800000000000004,0,15,11,118.0
1,42,52.050000000000004,0,14,12,113.0
1,43,51.400000000000006,0,13,11,114.0
1,44,53.00000000000001,0,12,12,100.0
1,45,54.60000000000001,0,11,13,86.0
1,46,54.85000000000001,0,12,14,81.0
1,47,55.70000000000001,0,12,15,72.0
1,48,56.55000000000001,0,11,16,63.0
1,49,58.000000000000014,0,10,17,50.0
1,50,59.750000000000014,0,9,18,35.0
1,51,60.15000000000001,0,8,17,29.0
1,52,60.70000000000001,0,7,17,22.0
2,1,-0.04999999999999999,0,54,11,597.0
2,2,0.95,0,53,10,587.0
2,3,2.8499999999999996,0,52,11,571.0
2,4,3.0999999999999996,0,51,12,566.0
2,5,4.3999999999999995,0,51,13,554.0
2,6,5.549999999999999,0,50,13,543.0
2,7,5.799999999999999,0,49,12,538.0
2,8,8.299999999999999,0,48,11,518.0
2,9,8.999999999999998,0,47,10,510.0
2,10,11.95,0,46,9,487.0
2,11,12.799999999999999,0,45,8,478.0
2,12,14.1,0,44,7,466.0
2,13,16.3,0,43,6,448.0
2,14,18.05,0,42,5,433.0
2,15,18.75,0,41,4,425.0
2,16,21.25,0,40,3,405.0
2,17,21.8,0,39,2,398.0
2,18,21.6,0,38,1,396.0
2,19,22.900000000000002,0,37,0,384.0
2,20,23.450000000000003,0,36,0,377.0
2,21,23.85,0,35,0,371.0
2,22,24.700000000000003,0,34,0,362.0
2,23,25.85,0,33,0,351.0
2,24,27.900000000000002,0,32,1,334.0
2,25,29.650000000000002,0,31,2,319.0
2,26,30.950000000000003,0,30,2,307.0
2,27,31.35,0,29,3,301.0
2,28,33.7,0,28,3,282.0
2,29,33.95,0,27,2,277.0
2,30,34.5,0,26,2,270.0
2,31,35.8,0,25,3,258.0
2,32,37.699999999999996,0,24,4,242.0
2,33,39.9,0,23,5,224.0
2,34,41.65,0,22,6,209.0
2,35,43.25,0,21,7,195.0
2,36,44.25,0,20,8,185.0
2,37,45.7,0,19,9,172.0
2,38,46.7,0,18,9,162.0
2,39,48.150000000000006,0,17,9,149.0
2,40,49.300000000000004,0,16,10,138.0
2,41,51.800000000000004,0,15,11,118.0
2,42,52.050000000000004,0,14,12,113.0
2,43,51.400000000000006,0,13,11,114.0
2,44,53.00000000000001,0,12,12,100.0
2,45,54.60000000000001,0,11,13,86.0
2,46,54.85000000000001,0,12,14,81.0
2,47,55.70000000000001,0,12,15,72.0
2,48,56.55000000000001,0,11,16,63.0
2,49,58.000000000000014,0,10,17,50.0
2,50,59.750000000000014,0,9,18,35.0
2,51,60.15000000000001,0,8,17,29.0
2,52,60.70000000000001,0,7,17,22.0
3,1,-0.04999999999999999,0,54,11,597.0
3,2,0.95,0,53,10,587.0
3,3,2.8499999999999996,0,52,11,571.0
3,4,3.0999999999999996,0,51,12,566.0
3,5,4.3999999999999995,0,51,13,554.0
3,6,5.549999999999999,0,50,13,543.0
3,7,5.799999999999999,0,49,12,538.0
3,8,8.299999999999999,0,48,11,518.0
3,9,8.999999999999998,0,47,10,510.0
3,10,11.95,0,46,9,487.0
3,11,12.799999999999999,0,45,8,478.0
3,12,14.1,0,44,7,466.0
3,13,16.3,0,43,6,448.0
3,14,18.05,0,42,5,433.0
3,15,18.75,0,41,4,425.0
3,16,21.25,0,40,3,405.0
3,17,21.8,0,39,2,398.0
3,18,21.6,0,38,1,396.0
3,19,22.900000000000002,0,37,0,384.0
3,20,23.450000000000003,0,36,0,377.0
3,21,23.85,0,35,0,371.0
3,22,24.700000000000003,0,34,0,362.0
3,23,25.85,0,33,0,351.0
3,24,27.900000000000002,0,32,1,334.0
3,25,29.650000000000002,0,31,2,319.0
3,26,30.950000000000003,0,30,2,307.0
3,27,31.35,0,29,3,301.0
3,28,33.7,0,28,3,282.0
3,29,33.95,0,27,2,277.0
3,30,34.5,0,26,2,270.0
3,31,35.8,0,25,3,258.0
3,32,37.699999999999996,0,24,4,242.0
3,33,39.9,0,23,5,224.0
3,34,41.65,0,22,6,209.0
3,35,43.25,0,21,7,195.0
3,36,44.25,0,20,8,185.0
3,37,45.7,0,19,9,172.0
3,38,46.7,0,18,9,162.0
3,39,48.150000000000006,0,17,9,149.0
3,40,49.300000000000004,0,16,10,138.0
3,41,51.800000000000004,0,15,11,118.0
3,42,52.050000000000004,0,14,12,113.0
3,43,51.400000000000006,0,13,11,114.0
3,44,53.00000000000001,0,12,12,100.0
3,45,54.60000000000001,0,11,13,86.0
3,46,54.85000000000001,0,12,14,81.0
3,47,55.70000000000001,0,12,15,72.0
3,48,56.55000000000001,0,11,16,63.0
3,49,58.000000000000014,0,10,17,50.0
3,50,59.750000000000014,0,9,18,35.0
3,51,60.15000000000001,0,8,17,29.0
3,52,60.70000000000001,0,7,17,22.0
