episode,episode_reward
1,-5004.850000000004
2,-1969.8000000000006
3,-2932.7999999999943
4,-1969.8000000000006
5,-2707.0500000000084
6,-4980.250000000005
7,-1276.7999999999968
8,-732.3000000000002
9,-813.3000000000015
10,-69.95000000000024
11,-542.2999999999998
12,-1541.4499999999975
13,-788.299999999999
14,-146.20000000000002
15,-62.80000000000007
16,-99.04999999999978
17,-171.45000000000022
18,-395.84999999999985
19,-40.700000000000074
20,-227.70000000000016
21,-135.30000000000004
22,-1.949999999999946
23,-60.80000000000007
24,24.64999999999999
25,-207.3499999999999
26,16.549999999999983
27,37.05
28,26.150000000000063
29,43.29999999999998
30,-379.1999999999998
31,38.8
32,53.199999999999974
33,-131.8000000000002
34,59.30000000000001
35,-4.299999999999983
36,35.64999999999998
37,77.65
38,59.80000000000004
39,94.2
40,93.19999999999999
41,79.70000000000002
42,95.7
43,-101.30000000000013
44,70.55000000000001
45,84.15
46,-95.45000000000005
47,62.20000000000001
48,92.05
49,135.2
50,-13.299999999999955
51,21.69999999999999
52,99.19999999999999
53,123.2
54,106.7
55,-201.30000000000007
56,102.7
57,118.7
58,122.79999999999998
59,113.65
60,96.7
61,113.2
62,100.15
63,123.2
64,117.2
65,107.19999999999999
66,123.7
67,93.05
68,118.55000000000001
69,123.55
70,124.7
71,131.05
72,125.55000000000001
73,129.05
74,121.7
75,123.7
76,131.14999999999998
77,124.7
78,124.15
79,130.20000000000002
80,132.7
81,139.15
82,144.15
83,125.2
84,133.64999999999998
85,144.7
86,140.2
87,142.54999999999998
88,128.7
89,145.29999999999998
90,-108.35000000000014
91,134.2
92,145.05
93,132.65
94,124.20000000000002
95,135.2
96,145.65
97,138.7
98,135.2
99,144.7
100,128.65
101,135.2
102,140.70000000000002
103,148.3
104,150.70000000000002
105,132.7
106,149.64999999999998
107,135.54999999999998
108,135.7
109,144.2
110,143.2
111,121.3
112,135.15
113,144.7
114,152.7
115,143.2
116,141.2
117,137.2
118,138.2
119,137.7
120,142.14999999999998
121,149.14999999999998
122,151.2
123,155.2
124,145.2
125,153.7
126,142.2
127,147.2
128,142.2
129,155.7
130,144.2
131,149.70000000000002
132,143.2
133,149.15
134,151.2
135,146.15000000000003
136,151.14999999999998
137,144.70000000000002
138,154.7
139,147.7
140,144.2
141,147.7
142,121.7
143,144.15
144,146.7
145,151.20000000000002
146,154.2
147,156.7
148,154.7
149,149.2
150,153.2
151,148.7
152,152.2
153,156.15
154,156.2
155,142.54999999999998
156,153.20000000000002
157,151.7
158,153.2
159,151.7
160,101.19999999999999
161,151.7
162,156.7
163,153.7
164,148.7
165,151.70000000000002
166,152.2
167,150.7
168,151.20000000000002
169,152.20000000000002
170,152.70000000000002
171,149.54999999999998
172,151.7
173,150.2
174,159.15
175,146.2
176,147.7
177,156.2
178,150.2
179,151.70000000000002
180,157.64999999999998
181,156.64999999999998
182,153.7
183,158.2
184,152.2
185,156.2
186,152.15
187,153.7
188,152.70000000000002
189,151.2
190,151.2
191,156.7
192,156.7
193,158.7
194,154.2
195,153.7
196,156.2
197,155.2
198,151.70000000000002
199,150.54999999999998
200,156.7
201,154.7
202,155.7
203,157.2
204,159.2
205,157.7
206,154.64999999999998
207,155.2
208,153.7
209,157.2
210,156.2
211,154.7
212,157.2
213,156.20000000000002
214,154.2
215,155.7
216,157.2
217,158.7
218,156.2
219,156.2
220,153.7
221,155.2
222,157.7
223,156.2
224,151.7
225,155.2
226,158.7
227,155.2
228,153.7
229,153.7
230,154.2
231,158.2
232,156.64999999999998
233,157.7
234,156.2
235,158.7
236,159.2
237,156.2
238,157.7
239,158.14999999999998
240,159.55
241,157.7
242,156.14999999999998
243,157.7
244,157.7
245,157.2
246,155.7
247,157.2
248,159.7
249,159.2
250,154.2
251,153.7
252,157.2
253,158.20000000000002
254,155.7
255,156.7
256,155.7
257,157.2
258,157.7
259,159.2
260,158.2
261,159.2
262,156.7
263,157.2
264,158.7
265,158.7
266,156.7
267,159.2
268,156.2
269,155.7
270,158.7
271,159.2
272,155.2
273,154.7
274,158.2
275,159.7
276,159.2
277,157.20000000000002
278,158.7
279,157.2
280,155.70000000000002
281,155.7
282,157.7
283,158.7
284,157.7
285,159.7
286,159.2
287,158.2
288,158.2
289,158.7
290,159.2
291,157.2
292,159.7
293,158.2
294,158.7
295,158.2
296,156.7
297,159.2
298,159.2
299,156.7
300,157.2
