episode,episode_reward
1,-4991.799999999991
2,-3509.3500000000026
3,-5013.400000000012
4,-3928.9499999999925
5,-1765.2000000000007
6,-2422.3000000000034
7,-2455.199999999994
8,-2475.8500000000076
9,-1835.3000000000002
10,-2292.849999999997
11,-831.8
12,-1251.8
13,-209.69999999999976
14,-350.79999999999984
15,-128.30000000000007
16,-205.2000000000001
17,-424.8000000000003
18,-542.8500000000004
19,-31.299999999999898
20,-84.2000000000001
21,-1155.299999999999
22,-62.30000000000004
23,-442.8499999999997
24,-821.799999999999
25,-153.35000000000008
26,22.19999999999996
27,-41.799999999999926
28,-53.34999999999991
29,43.55000000000002
30,27.650000000000006
31,35.54999999999997
32,8.699999999999903
33,110.2
34,6.649999999999878
35,-17.299999999999997
36,69.69999999999999
37,75.7
38,79.7
39,78.2
40,45.199999999999996
41,100.7
42,59.20000000000002
43,107.69999999999999
44,95.55
45,-80.30000000000021
46,107.15
47,98.2
48,85.19999999999999
49,93.2
50,82.7
51,92.7
52,103.2
53,72.20000000000002
54,100.2
55,118.7
56,100.55
57,109.65
58,133.65
59,132.7
60,119.05000000000001
61,129.20000000000002
62,120.20000000000002
63,117.69999999999999
64,125.65
65,135.55
66,124.15
67,74.70000000000002
68,87.19999999999999
69,124.65
70,125.19999999999999
71,120.15
72,130.05
73,117.20000000000002
74,118.19999999999999
75,132.15
76,115.2
77,140.55
78,115.19999999999999
79,142.2
80,109.7
81,138.2
82,127.64999999999998
83,142.2
84,129.7
85,141.7
86,145.05
87,147.65
88,125.19999999999999
89,137.64999999999998
90,140.7
91,128.55
92,135.7
93,151.7
94,138.7
95,140.65
96,146.20000000000002
97,142.7
98,140.7
99,136.20000000000002
100,138.2
101,154.14999999999998
102,128.04999999999998
103,144.2
104,141.7
105,140.7
106,145.7
107,136.2
108,140.7
109,131.2
110,144.7
111,148.7
112,134.7
113,138.2
114,137.55
115,144.65
116,132.70000000000002
117,143.2
118,141.7
119,140.14999999999998
120,143.2
121,132.64999999999998
122,151.2
123,150.2
124,147.15
125,153.2
126,144.7
127,79.55000000000003
128,150.55
129,141.2
130,150.2
131,141.7
132,148.20000000000002
133,149.2
134,155.7
135,147.20000000000002
136,151.64999999999998
137,144.2
138,150.2
139,151.14999999999998
140,146.2
141,155.14999999999998
142,145.2
143,149.7
144,142.7
145,145.2
146,144.64999999999998
147,156.2
148,152.2
149,152.2
150,154.2
151,153.7
152,148.7
153,147.70000000000002
154,153.2
155,148.20000000000002
156,154.05
157,151.65
158,153.7
159,155.14999999999998
160,153.7
161,144.2
162,147.2
163,146.2
164,155.2
165,151.20000000000002
166,150.7
167,156.2
168,158.2
169,153.2
170,151.7
171,153.2
172,153.2
173,148.7
174,159.05
175,151.70000000000002
176,158.7
177,149.7
178,149.2
179,155.2
180,147.7
181,150.65
182,158.54999999999998
183,154.2
184,159.7
185,148.54999999999998
186,158.2
187,155.7
188,155.2
189,152.2
190,154.65
191,149.2
192,154.2
193,155.2
194,156.7
195,156.2
196,160.7
197,154.2
198,156.2
199,156.2
200,157.2
201,152.7
202,157.2
203,155.7
204,154.2
205,153.7
206,153.7
207,157.2
208,155.2
209,156.7
210,158.7
211,148.7
212,158.2
213,154.7
214,159.04999999999998
215,158.2
216,153.7
217,150.7
218,154.7
219,157.2
220,158.7
221,158.7
222,160.7
223,157.7
224,161.2
225,157.7
226,161.7
227,151.2
228,156.55
229,157.7
230,158.7
231,152.7
232,155.2
233,160.2
234,159.2
235,158.7
236,160.2
237,156.2
238,155.2
239,155.2
240,160.14999999999998
241,156.7
242,157.7
243,158.2
244,155.2
245,153.7
246,160.7
247,160.2
248,160.2
249,157.2
250,160.2
251,159.7
252,157.2
253,159.7
254,159.2
255,160.7
256,160.2
257,157.7
258,158.2
259,158.2
260,156.20000000000002
261,158.7
262,160.2
263,156.2
264,159.2
265,161.2
266,160.2
267,160.2
268,156.7
269,159.2
270,157.7
271,158.2
272,155.2
273,155.7
274,156.2
275,159.2
276,158.7
277,159.2
278,159.7
279,160.7
280,161.7
281,157.7
282,156.7
283,160.7
284,161.7
285,160.2
286,160.7
287,160.54999999999998
288,160.7
289,160.7
290,157.55
291,160.64999999999998
292,160.7
293,161.7
294,159.2
295,159.2
296,159.7
297,160.7
298,158.2
299,159.7
300,159.7
