episode,episode_reward
1,-4982.049999999992
2,-4546.200000000013
3,-4952.499999999991
4,-4958.9500000000135
5,-1118.299999999999
6,-2046.6999999999998
7,-1523.3500000000001
8,-1641.349999999998
9,-3036.85000000001
10,-598.3500000000005
11,-1541.4499999999987
12,-1252.9500000000019
13,-1237.1999999999969
14,-106.69999999999996
15,-434.1999999999996
16,-1529.3000000000022
17,-317.34999999999974
18,-487.95000000000016
19,-177.3
20,-429.7000000000004
21,-361.6999999999995
22,-483.3500000000005
23,-181.85000000000008
24,-332.69999999999993
25,-29.35000000000008
26,-92.85000000000002
27,-205.2999999999999
28,52.15000000000001
29,-145.95000000000002
30,6.049999999999969
31,39.20000000000003
32,56.8
33,82.8
34,63.15
35,112.2
36,94.7
37,67.15
38,26.700000000000003
39,84.8
40,55.700000000000024
41,79.64999999999999
42,56.19999999999998
43,86.80000000000001
44,106.14999999999999
45,81.80000000000001
46,75.64999999999999
47,76.3
48,30.69999999999999
49,121.15
50,108.15
51,139.65
52,65.69999999999999
53,109.05
54,115.65
55,107.19999999999999
56,99.7
57,115.80000000000001
58,120.3
59,7.6499999999999915
60,99.45
61,117.65
62,135.64999999999998
63,116.19999999999999
64,124.64999999999999
65,129.8
66,107.05
67,75.15
68,131.79999999999998
69,117.64999999999999
70,121.2
71,96.8
72,138.3
73,128.7
74,129.15
75,147.15
76,131.65
77,123.15
78,133.15
79,134.64999999999998
80,140.65
81,127.30000000000001
82,143.55
83,138.3
84,133.15
85,130.8
86,141.8
87,136.64999999999998
88,140.64999999999998
89,139.15
90,139.14999999999998
91,135.15
92,128.65
93,127.80000000000001
94,142.3
95,144.14999999999998
96,131.65
97,142.7
98,144.55
99,140.8
100,143.65
101,141.64999999999998
102,144.64999999999998
103,142.04999999999998
104,146.20000000000002
105,141.3
106,133.64999999999998
107,141.2
108,140.65
109,148.15
110,139.3
111,147.05
112,149.15
113,148.15
114,145.14999999999998
115,143.2
116,147.8
117,133.65
118,140.65
119,145.65000000000003
120,153.7
121,143.65
122,149.65
123,141.8
124,149.3
125,152.3
126,143.65
127,151.14999999999998
128,134.14999999999998
129,151.8
130,142.65
131,149.3
132,147.15
133,151.2
134,153.15
135,150.15
136,150.15
137,150.65
138,148.79999999999998
139,148.64999999999998
140,147.15000000000003
141,154.15
142,150.65
143,152.3
144,154.3
145,137.65
146,155.8
147,151.7
148,149.65
149,145.15
150,125.65
151,157.15
152,154.05
153,149.15
154,157.15
155,153.15
156,146.3
157,151.70000000000002
158,154.65
159,146.65
160,157.65
161,154.15
162,154.15
163,158.15
164,151.8
165,157.65
166,157.8
167,152.65
168,143.64999999999998
169,156.65
170,147.65
171,148.2
172,158.65
173,153.65
174,150.70000000000002
175,153.65
176,155.15
177,158.65
178,155.79999999999998
179,154.15
180,152.65
181,156.3
182,160.65
183,151.95
184,153.65
185,157.14999999999998
186,152.65
187,158.64999999999998
188,154.8
189,158.15
190,154.15
191,152.15
192,147.3
193,150.65
194,158.29999999999998
195,154.3
196,157.65
197,158.65
198,153.65
199,156.65
200,156.8
201,157.65
202,157.65
203,157.65
204,153.05
205,155.15
206,160.14999999999998
207,157.65
208,156.64999999999998
209,158.3
210,156.65
211,154.65
212,160.15
213,159.15
214,160.14999999999998
215,156.8
216,157.65
217,159.15
218,160.14999999999998
219,154.65
220,155.14999999999998
221,160.65
222,159.64999999999998
223,157.15
224,156.65
225,159.14999999999998
226,159.65
227,160.15
228,158.14999999999998
229,161.65
230,158.15
231,159.79999999999998
232,154.65
233,159.14999999999998
234,158.15
235,159.15
236,153.65
237,152.15
238,159.65
239,159.14999999999998
240,159.15
241,161.65
242,118.64999999999999
243,159.14999999999998
244,155.79999999999998
245,157.65
246,160.8
247,159.65
248,161.65
249,157.65
250,160.14999999999998
251,157.65
252,158.20000000000002
253,160.64999999999998
254,159.14999999999998
255,158.64999999999998
256,158.7
257,161.65
258,161.65
259,160.65
260,160.65
261,161.7
262,159.15
263,159.15
264,160.14999999999998
265,156.3
266,160.65
267,158.65
268,161.65
269,160.14999999999998
270,157.15
271,159.65
272,160.70000000000002
273,160.15
274,157.3
275,158.65
276,158.14999999999998
277,161.64999999999998
278,157.65
279,160.14999999999998
280,159.65
281,160.14999999999998
282,157.15
283,147.64999999999998
284,155.14999999999998
285,160.15
286,161.65
287,155.65
288,161.15
289,159.15
290,160.65
291,160.64999999999998
292,160.65
293,158.15
294,158.65
295,158.65
296,101.64999999999999
297,159.64999999999998
298,160.15
299,159.14999999999998
300,161.65
301,141.14999999999998
302,159.14999999999998
303,160.65
304,160.15
305,160.65
306,159.65
307,161.65
308,160.65
309,158.14999999999998
310,159.15
311,161.15
312,160.65
313,158.15
314,157.15
315,161.65
316,160.15
317,160.64999999999998
318,155.64999999999998
319,160.64999999999998
320,160.65
321,160.65
322,160.65
323,160.65
324,160.65
325,161.64999999999998
326,162.65
327,158.64999999999998
328,159.65
329,161.15
330,158.65
331,160.65
332,157.14999999999998
333,160.65
334,161.65
335,158.64999999999998
336,161.65
337,161.15
338,159.65
339,161.15
340,161.15
341,161.65
342,157.65
343,161.65
344,161.65
345,161.65
346,158.15000000000003
347,159.15
348,158.65
349,157.65
350,161.15
351,161.15
352,161.2
353,157.65
354,161.65
355,158.14999999999998
356,161.65
357,161.65
358,161.65
359,158.15
360,160.65
361,161.65
362,161.65
363,158.65
364,155.15
365,155.64999999999998
366,161.65
367,160.65
368,161.65
369,161.65
370,160.14999999999998
371,161.65
372,160.65
373,160.65
374,158.64999999999998
375,155.15
376,160.65
377,161.65
378,161.65
379,160.65
380,160.14999999999998
381,160.65
382,160.64999999999998
383,161.14999999999998
384,161.15
385,160.65
386,161.65
387,159.15
388,160.65
389,160.65
390,157.65
391,161.65
392,161.65
393,159.14999999999998
394,161.65
395,161.65
396,161.15
397,161.65
398,161.65
399,161.65
400,161.65
401,161.65
402,160.65
403,161.65
404,161.65
405,161.65
406,161.15
407,158.15
408,161.65
409,161.65
410,158.65
411,161.65
412,158.14999999999998
413,161.65
414,161.65
415,161.65
416,161.65
417,161.65
418,161.65
419,160.65
420,160.65
421,160.14999999999998
422,161.65
423,161.15
424,161.65
425,161.65
426,161.65
427,161.65
428,161.65
429,160.65
430,161.65
431,161.65
432,160.65
433,160.15
434,160.65
435,160.65
436,161.15
437,161.65
438,161.65
439,161.65
440,160.14999999999998
441,158.65000000000003
442,161.65
443,71.80000000000001
444,160.65
445,161.65
446,159.14999999999998
447,161.55
448,161.65
449,161.65
450,159.64999999999998
451,160.65
452,161.65
453,161.65
454,161.65
455,161.65
456,161.65
457,161.65
458,161.65
459,161.65
460,161.65
461,161.65
462,161.65
463,161.65
464,161.15
465,161.65
466,161.65
467,159.65
468,161.65
469,161.65
470,160.65
471,161.65
472,161.65
473,161.65
474,161.65
475,159.65
476,161.65
477,161.65
478,160.65
479,161.64999999999998
480,161.65
481,161.65
482,161.3
483,161.65
484,161.8
485,161.65
486,161.65
487,161.65
488,161.65
489,161.15
490,161.64999999999998
491,161.65
492,161.65
493,161.65
494,160.65
495,160.15
496,161.15
497,161.65
498,161.65
499,161.65
500,160.64999999999998
501,160.14999999999998
502,161.65
503,161.65
504,161.65
505,161.65
506,161.65
507,161.15
508,161.65
509,161.15
510,160.15
511,161.65
512,161.65
513,161.65
514,161.65
515,161.65
516,161.65
517,160.15
518,161.65
519,161.65
520,161.65
521,161.65
522,161.65
523,160.65
524,161.15
525,161.65
526,161.65
527,161.65
528,161.65
529,161.65
530,161.65
531,161.65
532,161.65
533,161.65
534,161.65
535,161.65
536,161.65
537,161.65
538,161.65
539,161.65
540,161.65
541,161.65
542,161.65
543,161.65
544,159.65
545,161.65
546,161.64999999999998
547,161.65
548,161.65
549,161.3
550,161.65
551,160.14999999999998
552,161.65
553,161.65
554,161.65
555,161.65
556,161.65
557,161.65
558,161.65
559,161.65
560,161.65
561,161.65
562,161.65
563,161.65
564,161.65
565,161.65
566,161.15
567,161.65
568,161.65
569,161.65
570,161.65
571,161.65
572,161.65
573,161.65
574,160.65
575,161.65
576,161.65
577,161.65
578,161.65
579,161.65
580,161.65
581,161.65
582,161.65
583,161.65
584,161.65
585,161.65
586,161.65
587,161.65
588,161.65
589,161.65
590,161.65
591,161.65
592,159.65
593,161.65
594,161.65
595,161.65
596,160.65
597,161.65
598,161.65
599,161.65
600,161.65
601,161.65
602,161.65
603,161.65
604,161.65
605,161.65
606,161.65
607,161.65
608,161.65
609,161.65
610,161.65
611,160.65
612,161.65
613,161.65
614,161.65
615,161.65
616,161.65
617,161.65
618,161.65
619,161.65
620,161.65
621,161.65
622,161.65
623,161.65
624,161.65
625,161.65
626,161.65
627,161.65
628,161.65
629,161.65
630,161.65
631,161.65
632,161.65
633,161.65
634,161.65
635,161.65
636,161.65
637,161.65
638,161.65
639,161.65
640,161.65
641,161.65
642,161.65
643,161.65
644,161.15
645,161.65
646,161.65
647,161.65
648,161.15
649,161.65
650,160.65
651,161.65
652,161.65
653,161.65
654,161.65
655,161.65
656,161.65
657,161.65
658,161.65
659,161.65
660,161.65
661,161.65
662,161.65
663,161.65
664,161.65
665,161.65
666,161.65
667,161.65
668,161.65
669,161.65
670,161.65
671,161.65
672,161.65
673,161.65
674,161.65
675,161.65
676,161.65
677,161.65
678,161.65
679,161.65
680,161.65
681,161.65
682,161.65
683,161.65
684,161.65
685,161.65
686,161.65
687,161.65
688,161.65
689,161.65
690,161.65
691,161.65
692,161.65
693,161.65
694,161.65
695,161.65
696,161.65
697,161.65
698,161.65
699,161.65
700,161.65
701,161.65
702,161.65
703,161.65
704,161.65
705,161.65
706,161.65
707,161.65
708,161.65
709,161.65
710,161.65
711,161.65
712,161.15
713,161.65
714,161.65
715,161.65
716,161.65
717,161.65
718,161.65
719,161.65
720,161.65
721,161.65
722,161.65
723,161.65
724,161.65
725,161.65
726,161.65
727,161.65
728,161.65
729,161.65
730,161.65
731,161.65
732,161.65
733,161.65
734,161.65
735,161.65
736,161.65
737,161.65
738,161.65
739,161.65
740,161.65
741,161.65
742,161.65
743,161.65
744,161.65
745,161.65
746,161.65
747,161.65
748,161.65
749,161.65
750,161.65
751,161.65
752,161.65
753,161.65
754,161.65
755,161.65
756,161.65
757,161.65
758,161.65
759,161.65
760,161.65
761,161.65
762,161.65
763,161.65
764,161.65
765,161.65
766,161.65
767,161.65
768,161.65
769,161.65
770,161.65
771,161.65
772,161.65
773,161.65
774,161.65
775,161.65
776,161.65
777,161.65
778,161.65
779,161.65
780,161.65
781,161.65
782,161.65
783,161.65
784,161.65
785,161.65
786,161.65
787,161.65
788,160.65
789,161.65
790,161.65
791,161.65
792,161.65
793,161.65
794,161.65
795,161.65
796,161.65
797,161.65
798,161.65
799,161.65
800,161.65
801,161.65
802,161.65
803,161.65
804,161.65
805,161.65
806,161.65
807,161.65
808,161.65
809,161.65
810,161.65
811,161.65
812,161.65
813,161.65
814,161.65
815,161.65
816,161.65
817,161.65
818,161.65
819,161.65
820,161.65
821,161.65
822,161.65
823,161.65
824,161.65
825,161.65
826,161.65
827,161.65
828,161.65
829,161.65
830,161.65
831,161.65
832,161.65
833,161.65
834,161.65
835,161.65
836,161.65
837,161.65
838,161.65
839,161.65
840,161.65
841,161.65
842,161.65
843,161.65
844,161.15
845,161.65
846,161.65
847,161.65
848,161.65
849,161.65
850,161.65
851,161.65
852,161.14999999999998
853,161.65
854,161.65
855,161.65
856,160.65
857,161.65
858,161.65
859,161.65
860,161.65
861,161.65
862,161.65
863,161.65
864,161.65
865,161.65
866,161.65
867,161.65
868,161.65
869,161.65
870,161.65
871,161.65
872,161.65
873,161.65
874,159.65
875,161.65
876,161.65
877,161.65
878,161.15
879,161.65
880,161.65
881,161.65
882,161.65
883,161.65
884,161.65
885,161.65
886,161.65
887,161.65
888,161.65
889,161.65
890,161.65
891,161.65
892,161.65
893,161.65
894,161.65
895,161.65
896,161.65
897,161.65
898,161.65
899,161.65
900,161.65
901,161.65
902,161.65
903,161.65
904,161.65
905,161.65
906,161.65
907,161.65
908,161.65
909,161.65
910,161.65
911,161.65
912,161.65
913,161.65
914,161.65
915,161.65
916,161.65
917,161.65
918,161.65
919,161.65
920,161.65
921,161.65
922,161.65
923,161.65
924,161.65
925,161.65
926,161.65
927,161.65
928,161.65
929,161.65
930,161.65
931,161.65
932,161.65
933,161.65
934,161.65
935,161.65
936,161.65
937,161.65
938,161.65
939,161.65
940,161.65
941,161.65
942,161.65
943,161.65
944,161.65
945,161.65
946,161.65
947,161.65
948,161.65
949,161.65
950,161.65
951,161.65
952,161.65
953,161.65
954,161.65
955,161.65
956,161.65
957,161.65
958,161.65
959,161.65
960,161.65
961,161.65
962,161.65
963,161.65
964,161.65
965,161.65
966,161.65
967,161.65
968,161.65
969,161.65
970,161.65
971,161.65
972,161.65
973,161.65
974,161.65
975,161.65
976,161.65
977,161.65
978,161.65
979,161.65
980,160.65
981,161.65
982,161.65
983,161.65
984,161.65
985,161.65
986,161.65
987,161.65
988,161.65
989,161.65
990,161.65
991,161.65
992,161.65
993,161.65
994,161.65
995,161.65
996,161.65
997,161.65
998,161.65
999,161.65
1000,161.65
